순위,노래제목,가수
1,Shut Down,BLACKPINK
2,After LIKE,IVE (아이브)
3,새삥 (Prod. ZICO) (Feat. 호미들),지코
4,Hype Boy,NewJeans
5,Attention,NewJeans
6,Pink Venom,BLACKPINK
7,Talk that Talk,TWICE (트와이스)
8,Monologue,테이(Tei)
9,LOVE DIVE,IVE (아이브)
10,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
11,그랬으면 좋겠네,에일리(Ailee)
12,LAW (Prod. Czaer),윤미래
13,Ready For Love,BLACKPINK
14,DICE,NMIXX
15,FEARLESS,LE SSERAFIM (르세라핌)
16,도깨비불 (Illusion),aespa
17,FOREVER 1,소녀시대 (GIRLS' GENERATION)
18,Cookie,NewJeans
19,Feel My Rhythm,Red Velvet (레드벨벳)
20,TOMBOY,(여자)아이들
21,나의 X에게,경서
22,기념일,벤
23,ELEVEN,IVE (아이브)
24,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
25,SNEAKERS,ITZY (있지)
26,잡고 싶다,나윤권
27,MY BAG,(여자)아이들
28,질주 (2 Baddies),NCT 127
29,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN)
30,그라데이션,10CM
31,Yeah Yeah Yeah,BLACKPINK
32,Celebrity,아이유(IU)
33,보고싶었어,WSG워너비 (4FIRE)
34,That's Hilarious,Charlie Puth(찰리 푸스)
35,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
36,I.O.U.,Carry & Ron(캐리 앤 론)
37,strawberry moon,아이유(IU)
38,Tally,BLACKPINK
39,POP!,나연 (TWICE)
40,I Ain't Worried,OneRepublic(원리퍼블릭)
41,술이 뭐길래,지아(Zia)
42,드라마,아이유(IU)
43,사랑인가 봐,멜로망스(MeloMance)
44,Weekend,태연 (TAEYEON)
45,너의 모든 순간,성시경
46,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
47,STAY,The Kid LAROI
48,해요 (2022),#안녕
49,신호등,이무진
50,열이올라요 (Heart Burn),선미
51,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
52,다정히 내 이름을 부르면,경서예지
53,Hard to Love,BLACKPINK
54,사랑은 늘 도망가,임영웅
55,새벽에 걸려온 너의 전화는,한동근
56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
57,LOVE me,BE'O (비오)
58,IT'S YOU (feat. keshi),MAX(맥스)
59,팡파레,다비치
60,사랑한다고 말해줘,탑현
61,SMILEY (Feat. BIBI),YENA (최예나)
62,취중고백,김민석 (멜로망스)
63,Somebody!,로꼬
64,Love story,볼빨간사춘기
65,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
66,Girls,aespa
67,스티커 사진,21학번
68,내가 아니라도,주호
69,마음을 드려요,아이유(IU)
70,INVU,태연 (TAEYEON)
71,TTFU,사이먼 도미닉
72,The Happiest Girl,BLACKPINK
73,Hurt,NewJeans
74,Dangerously,Charlie Puth(찰리 푸스)
75,이별한 이유가 너무 아파,임한별
76,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
77,늦은 밤 헤어지긴 너무 아쉬워,케이시
78,어떻게 지내 (Prod. By VAN.C),오반
79,Forever Young,BLACKPINK
80,HEYDAY (Prod. Czaer),Stray Kids (스트레이 키즈)
81,통화연결음,보라미유
82,잠수이별 (Prod. 코드 쿤스트),우원재
83,가을밤에 든 생각,잔나비
84,"100℃ (Prod. 기리보이, YEOHO) (Feat. YUNHWAY)",기리보이
85,Next Level,aespa
86,Off My Face,Justin Bieber(저스틴 비버)
87,I LOVE U,WINNER
88,머물러 있는 것 또한 아름다울 수 있는 건,SOLE(쏠)
89,Braindead,시온
90,부동산에서 숨 쉬는 아이,김진호 (SG워너비)
91,너무 아픈 사랑은 사랑이 아니었음을,김기태
92,괴짜 (Freak),지코
93,오늘부터 우리는 (Me gustas tu),여자친구(GFRIEND)
94,Sunflower (P.E.L),최유정(Weki Meki)
95,Sparkling,청하
96,Light Switch,Charlie Puth(찰리 푸스)
97,시간과 낙엽,AKMU(악뮤)
98,Smells Like Me,Charlie Puth(찰리 푸스)
99,어떻게 지내,Crush
100,Havana (feat. Young Thug),Camila Cabello(카밀라 카베요)
